,date,qid,pageviews,date_object,wave
328,2024-01-02,Q174438,675,2024-01-02,
329,2024-01-03,Q174438,675,2024-01-03,
330,2024-01-04,Q174438,671,2024-01-04,
331,2024-01-05,Q174438,626,2024-01-05,
332,2024-01-06,Q174438,507,2024-01-06,
333,2024-01-07,Q174438,637,2024-01-07,
334,2024-01-01,Q310394,3660,2024-01-01,
335,2024-01-02,Q310394,23499,2024-01-02,
336,2024-01-03,Q310394,5410,2024-01-03,
337,2024-01-04,Q310394,3602,2024-01-04,
338,2024-01-05,Q310394,3053,2024-01-05,
339,2024-01-06,Q310394,2977,2024-01-06,
340,2024-01-07,Q310394,2598,2024-01-07,
341,2024-01-01,Q19526,1040,2024-01-01,
342,2024-01-02,Q19526,1114,2024-01-02,
343,2024-01-03,Q19526,1411,2024-01-03,
344,2024-01-04,Q19526,1472,2024-01-04,
345,2024-01-05,Q19526,1342,2024-01-05,
346,2024-01-06,Q19526,1345,2024-01-06,
347,2024-01-07,Q19526,1480,2024-01-07,
351,2024-01-01,Q183492,606,2024-01-01,Third-wave
352,2024-01-02,Q183492,692,2024-01-02,Third-wave
353,2024-01-03,Q183492,524,2024-01-03,Third-wave
354,2024-01-04,Q183492,535,2024-01-04,Third-wave
355,2024-01-05,Q183492,488,2024-01-05,Third-wave
356,2024-01-06,Q183492,513,2024-01-06,Third-wave
357,2024-01-07,Q183492,615,2024-01-07,Third-wave
358,2024-01-01,Q7197,486,2024-01-01,Second-wave
359,2024-01-02,Q7197,594,2024-01-02,Second-wave
360,2024-01-03,Q7197,589,2024-01-03,Second-wave
361,2024-01-04,Q7197,558,2024-01-04,Second-wave
362,2024-01-05,Q7197,592,2024-01-05,Second-wave
363,2024-01-06,Q7197,562,2024-01-06,Second-wave
364,2024-01-07,Q7197,563,2024-01-07,Second-wave
372,2024-01-01,Q239657,395,2024-01-01,Second-wave
373,2024-01-02,Q239657,1336,2024-01-02,Second-wave
374,2024-01-03,Q239657,913,2024-01-03,Second-wave
375,2024-01-04,Q239657,623,2024-01-04,Second-wave
376,2024-01-05,Q239657,559,2024-01-05,Second-wave
377,2024-01-06,Q239657,433,2024-01-06,Second-wave
378,2024-01-07,Q239657,497,2024-01-07,Second-wave
383,2024-01-02,Q5415028,106,2024-01-02,
420,2024-01-02,Q6948316,216,2024-01-02,Second-wave
421,2024-01-07,Q6948316,142,2024-01-07,Second-wave
427,2024-01-01,Q229141,252,2024-01-01,
428,2024-01-02,Q229141,277,2024-01-02,
429,2024-01-03,Q229141,242,2024-01-03,
430,2024-01-04,Q229141,287,2024-01-04,
431,2024-01-05,Q229141,270,2024-01-05,
432,2024-01-06,Q229141,303,2024-01-06,
433,2024-01-07,Q229141,308,2024-01-07,
440,2024-01-01,Q9582,3037,2024-01-01,Second-wave
441,2024-01-02,Q9582,3639,2024-01-02,Second-wave
442,2024-01-03,Q9582,3145,2024-01-03,Second-wave
443,2024-01-04,Q9582,2729,2024-01-04,Second-wave
444,2024-01-05,Q9582,2787,2024-01-05,Second-wave
445,2024-01-06,Q9582,2534,2024-01-06,Second-wave
446,2024-01-07,Q9582,2688,2024-01-07,Second-wave
449,2024-01-01,Q234604,378,2024-01-01,Second-wave
450,2024-01-02,Q234604,396,2024-01-02,Second-wave
451,2024-01-03,Q234604,382,2024-01-03,Second-wave
452,2024-01-04,Q234604,359,2024-01-04,Second-wave
453,2024-01-05,Q234604,386,2024-01-05,Second-wave
454,2024-01-06,Q234604,462,2024-01-06,Second-wave
455,2024-01-07,Q234604,512,2024-01-07,Second-wave
462,2024-01-01,Q184746,1322,2024-01-01,
463,2024-01-02,Q184746,1259,2024-01-02,
464,2024-01-03,Q184746,1166,2024-01-03,
465,2024-01-04,Q184746,1279,2024-01-04,
466,2024-01-05,Q184746,3092,2024-01-05,
467,2024-01-06,Q184746,1379,2024-01-06,
468,2024-01-07,Q184746,1277,2024-01-07,
470,2024-01-01,Q103591,169,2024-01-01,Second-wave
471,2024-01-02,Q103591,144,2024-01-02,Second-wave
472,2024-01-03,Q103591,144,2024-01-03,Second-wave
473,2024-01-04,Q103591,187,2024-01-04,Second-wave
474,2024-01-05,Q103591,150,2024-01-05,Second-wave
475,2024-01-06,Q103591,133,2024-01-06,Second-wave
476,2024-01-07,Q103591,212,2024-01-07,Second-wave
487,2024-01-01,Q230969,669,2024-01-01,Second-wave
488,2024-01-02,Q230969,1167,2024-01-02,Second-wave
489,2024-01-03,Q230969,1022,2024-01-03,Second-wave
490,2024-01-04,Q230969,840,2024-01-04,Second-wave
491,2024-01-05,Q230969,879,2024-01-05,Second-wave
492,2024-01-06,Q230969,860,2024-01-06,Second-wave
493,2024-01-07,Q230969,975,2024-01-07,Second-wave
494,2024-01-01,Q463319,252,2024-01-01,Third-wave
495,2024-01-02,Q463319,270,2024-01-02,Third-wave
496,2024-01-03,Q463319,316,2024-01-03,Third-wave
497,2024-01-04,Q463319,384,2024-01-04,Third-wave
498,2024-01-05,Q463319,287,2024-01-05,Third-wave
499,2024-01-06,Q463319,237,2024-01-06,Third-wave
500,2024-01-07,Q463319,234,2024-01-07,Third-wave
504,2024-01-02,Q1331228,156,2024-01-02,
505,2024-01-03,Q1331228,124,2024-01-03,
506,2024-01-06,Q1331228,131,2024-01-06,
507,2024-01-07,Q1331228,98,2024-01-07,
511,2024-01-01,Q1388010,175,2024-01-01,
512,2024-01-02,Q1388010,237,2024-01-02,
513,2024-01-03,Q1388010,376,2024-01-03,
514,2024-01-04,Q1388010,209,2024-01-04,
515,2024-01-05,Q1388010,223,2024-01-05,
516,2024-01-06,Q1388010,191,2024-01-06,
517,2024-01-07,Q1388010,228,2024-01-07,
525,2024-01-05,Q292268,100,2024-01-05,Second-wave
526,2024-01-06,Q292268,108,2024-01-06,Second-wave
539,2024-01-01,Q220018,453,2024-01-01,
540,2024-01-02,Q220018,568,2024-01-02,
541,2024-01-03,Q220018,635,2024-01-03,
542,2024-01-04,Q220018,609,2024-01-04,
543,2024-01-05,Q220018,637,2024-01-05,
544,2024-01-06,Q220018,514,2024-01-06,
545,2024-01-07,Q220018,592,2024-01-07,
546,2024-01-01,Q117012,3682,2024-01-01,
547,2024-01-02,Q117012,2954,2024-01-02,
548,2024-01-03,Q117012,2402,2024-01-03,
549,2024-01-04,Q117012,2245,2024-01-04,
550,2024-01-05,Q117012,2447,2024-01-05,
551,2024-01-06,Q117012,2829,2024-01-06,
552,2024-01-07,Q117012,2867,2024-01-07,
567,2024-01-01,Q127328,103,2024-01-01,
568,2024-01-02,Q127328,177,2024-01-02,
569,2024-01-03,Q127328,141,2024-01-03,
570,2024-01-04,Q127328,156,2024-01-04,
571,2024-01-05,Q127328,199,2024-01-05,
572,2024-01-06,Q127328,90,2024-01-06,
573,2024-01-07,Q127328,175,2024-01-07,
574,2024-01-01,Q40933,1078,2024-01-01,
575,2024-01-02,Q40933,1079,2024-01-02,
576,2024-01-03,Q40933,1295,2024-01-03,
577,2024-01-04,Q40933,938,2024-01-04,
578,2024-01-05,Q40933,885,2024-01-05,
579,2024-01-06,Q40933,1101,2024-01-06,
580,2024-01-07,Q40933,1219,2024-01-07,
581,2024-01-01,Q133054,1752,2024-01-01,
582,2024-01-02,Q133054,1769,2024-01-02,
583,2024-01-03,Q133054,1649,2024-01-03,
584,2024-01-04,Q133054,1787,2024-01-04,
585,2024-01-05,Q133054,1497,2024-01-05,
586,2024-01-06,Q133054,1550,2024-01-06,
587,2024-01-07,Q133054,1839,2024-01-07,
601,2024-01-02,Q5125292,132,2024-01-02,
602,2024-01-02,Q270705,99,2024-01-02,
603,2024-01-04,Q270705,124,2024-01-04,
604,2024-01-06,Q270705,105,2024-01-06,
605,2024-01-07,Q270705,100,2024-01-07,
611,2024-01-01,Q285514,477,2024-01-01,
612,2024-01-02,Q285514,423,2024-01-02,
613,2024-01-03,Q285514,442,2024-01-03,
614,2024-01-04,Q285514,406,2024-01-04,
615,2024-01-05,Q285514,504,2024-01-05,
616,2024-01-06,Q285514,450,2024-01-06,
617,2024-01-07,Q285514,484,2024-01-07,
627,2024-01-01,Q11093,355,2024-01-01,
628,2024-01-02,Q11093,367,2024-01-02,
629,2024-01-03,Q11093,415,2024-01-03,
630,2024-01-04,Q11093,388,2024-01-04,
631,2024-01-05,Q11093,341,2024-01-05,
632,2024-01-06,Q11093,394,2024-01-06,
633,2024-01-07,Q11093,395,2024-01-07,
634,2024-01-01,Q231178,878,2024-01-01,Second-wave
635,2024-01-02,Q231178,999,2024-01-02,Second-wave
636,2024-01-03,Q231178,932,2024-01-03,Second-wave
637,2024-01-04,Q231178,1008,2024-01-04,Second-wave
638,2024-01-05,Q231178,1073,2024-01-05,Second-wave
639,2024-01-06,Q231178,1085,2024-01-06,Second-wave
640,2024-01-07,Q231178,1214,2024-01-07,Second-wave
647,2024-01-01,Q442231,93,2024-01-01,
648,2024-01-05,Q442231,91,2024-01-05,
649,2024-01-06,Q442231,92,2024-01-06,
667,2024-01-01,Q40909,1265,2024-01-01,First-wave
668,2024-01-02,Q40909,1543,2024-01-02,First-wave
669,2024-01-03,Q40909,1518,2024-01-03,First-wave
670,2024-01-04,Q40909,1387,2024-01-04,First-wave
671,2024-01-05,Q40909,1240,2024-01-05,First-wave
672,2024-01-06,Q40909,1247,2024-01-06,First-wave
673,2024-01-07,Q40909,1220,2024-01-07,First-wave
682,2024-01-01,Q83566,646,2024-01-01,
683,2024-01-02,Q83566,618,2024-01-02,
684,2024-01-03,Q83566,522,2024-01-03,
685,2024-01-04,Q83566,536,2024-01-04,
686,2024-01-05,Q83566,488,2024-01-05,
687,2024-01-06,Q83566,531,2024-01-06,
688,2024-01-07,Q83566,904,2024-01-07,
